jenis,kategori,jenis_kulit,merk,nama_product,link_gambar,nama_gambar,key_ingredients,ingredients,deskripsi,no_BPOM,hamil_menyusui,kondisi_kulit,sensitif,tujuan,kegunaan,fungsi
Cleanser,Facial Wash,Kering,SKINTIFIC,5X Ceramide Low pH Cleanser,https://image.femaledaily.com/dyn/210/images/prod-pics/product_1672043895_6b79844e_d_800x800.jpg,skintific_5xceramidelowphcleanser,"Anti-acne: Niacinamide, Salicylic Acid, Phytosphingosine
Antioxidant: Centella Asiatica Extract, Tocopherol, Ascorbic Acid
Cell-communicating ingredient: Niacinamide, Phytosphingosine
Exfoliant: Salicylic Acid
Skin brightening: Niacinamide, Ascorbic Acid
Skin-identical ingredient: Glycerin, Ceramide NP, Ceramide EOP, Hyaluronic Acid, Ceramide AP, Arginine, Sodium Hyaluronate, Cholesterol, Phytosphingosine
Soothing: Centella Asiatica Extract, Panthenol, Salicylic Acid","Water, Glycerin, Sodium Cocoyl Glycinate, Lauryl Betaine, Hydroxypropyl Starch Phosphate, Citric Acid, PEG-60 Glyceryl Isostearate, Sodium Chloride, Glyceryl Stearate SE, Coco-Glucoside, Phenoxyethanol, Sodium Cocoyl Isethionate, Sodium Phytate, Ethylhexylglycerin, Polyquaternium-7, 1,2-Hexanediol, Quillaja Saponaria Bark Extract, Sodium Benzoate, Ceramide NP, Ceramide EOP, Hyaluronic Acid, Ceramide AP, Centella Asiatica Extract, Niacinamide, Ceramide AS, Panthenol, Ceramide NS, Salicylic Acid, Arginine, Butylene Glycol, Hydrogenated Lecithin, Cetearyl Alcohol, Tocopherol, Stearic Acid, Ascorbic Acid, Sodium Hyaluronate, Cholesterol, Phytosphingosine",Membersihkan dengan lembut dengan perlindungan penghalang lembap.,"
NA11211200832",Ya,,b,a,Membersihkan kulit agar lebih cerah dan mengangkat minyak berlebih serta mencegah timbulnya jerawat.,d
Cleanser,Facial Wash,Kering,Whitelab,pH-Balanced Facial Cleanser,https://image.femaledaily.com/dyn/210/images/prod-pics/product_1643265995_LOW_PH_FAC_800x800.jpg,whitelab_ph-balancedfacialcleanser,"Anti-acne: Niacinamide
Antioxidant: Avena Sativa Kernel Extract
Cell-communicating ingredient: Niacinamide
Skin brightening: Niacinamide
Skin-identical ingredient: Glyserin
Soothing: Avena Sativa Kernel Extract","Aqua, Cocamidopropyl Betaine, Glyserin, Potassium Cocoate, Sodium Cocoamphoacetate, Disodium Cocoyl Glutamate, Cocamide DEA, Sodium Chloride, Polysorbate 20, Niacinamide, Avena Sativa Kernel Extract, Lactobacillus Ferment Filtrate, Fomes Officinalis (Mushroom) Extract, DMDM Hydantoin, Sodium Benzoate, Potassium Sorbate","Pembersih wajah dengan pH yang sesuai dengan pH kulit (5,5).",NA18211207375,Ya,,b,a,"Membersihkan wajah dari debu dan kotoran hingga ke pori, Melembapkan dan merawat kehalusan kulit wajah",b
Cleanser,Oil,Kering,Somethinc,Alpha Squalanexoidant Deep Cleansing Oil,https://image.femaledaily.com/dyn/210/images/prod-pics/product_1628660213_cleansing__800x800.jpg,somethinc_alphasqualanexoidantdeepcleansingoil,"Antioxidant: Tocopherol
Skin-identical ingredient: Squalane","Ethylhexyl Stearate, Cetyl Ethylhexanoate, Sorbeth-30 Tetraoleate, Squalane, Helianthus Annuus (Sunflower) Seed Oil, Hydrogenated Olive Oil Unsaponifiables, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Tocopherol",Membersihkan secara mendalam setelah seharian beraktivitas berat.,NA18211202419,"Bahan yang kami formulasikan sudah mendapat persetujuan standar BPOM. Namun mengingat ibu hamil terkadang memiliki alergi terhadap hal-hal tertentu & perubahan hormonal, lebih baik konsultasikan kandungan bahan dalam produk kepada dokter kandungan anda.",,b,a,"membersihkan makeup waterproof, minyak, debu, dan kotoran secara menyeluruh",g
Cleanser,Oil,Kering,KOSE Cosmeport,Softymo Cleansing Oil,https://image.femaledaily.com/dyn/210/images/prod-pics/1438053223_lg.jpg,kosecosmeport_softymocleansingoil,"Antioxidant: Olive Fruit Oil, Safflower Oil, Tocopherol
Skin-identical ingredient: Glycerin","Mineral Oil, PEG-8 Glyceryl Isostearate, Cetyl Ethylhexanoate, Cyclomethicone, Water, Olive Fruit Oil, Sesame Seed Oil, Safflower Oil, Shea Butter, Tocopherol, Sunflower Seed Oil, Jojoba Seed Oil, Glycerin, Capric Acid, Pg, Corn Germ Oil, Isopropyl Myristate, Phenoxyethanol","Cleansing oil yang dirancang untuk secara efektif menghilangkan riasan, debu, dan kotoran dari kulit Anda.",NA22181204343,Ya,,b,a,"membersihkan dengan cepat make up waterproof, melembabkan dan mencegah kekeringan kulit",b
Cleanser,Oil,Kering,Skin1004,Madagascar Centella Light Cleansing Oil,https://image.femaledaily.com/dyn/210/images/prod-pics/product_1618815851_Madagascar_800x800.jpg,skin1004_madagascarcentellalightcleansingoil,"Antioxidant: Centella Asiatica Extract(10,000Ppm), Olea Europaea(Olive) Fruit Oil, Rosa Damascena Flower Oil
Soothing: Centella Asiatica Extract(10,000Ppm)","Ethylhexyl Stearate, Cetyl Ethylhexanoate, Sorbeth-30 Tetraoleate, Centella Asiatica Extract(10,000Ppm), Helianthus Annuus(Sunflower) Seed Oil, Citrus Aurantium Bergamia(Bergamot) Fruit Oil, Olea Europaea(Olive) Fruit Oil, Simmondsia Chinensis(Jojoba) Seed Oil, Ethylhexylglycerin, Pelargonium Graveolens Flower Oil, Rosa Damascena Flower Oil","Dibuat dengan campuran Minyak Centella dari Madagaskar, dan 6 minyak nabati yang berbeda.","
NA26211200852",Ya,,b,a,"menenangkan kulit yang kemerahan, bermasalah dan iritasi, melembutkan dan melembabkan wajah","b,f"
Cleanser,Scrub & Exfoliator,Kering,Cosrx,AHA 7 Whitehead Power Liquid,https://image.femaledaily.com/dyn/210/images/prod-pics/product_1454990462_cosrx_aha__800x800.jpg,cosrx_aha7whiteheadpowerliquid,"Anti-acne: Niacinamide
Cell-communicating ingredient: Niacinamide
Exfoliant: Glycolic Acid
Skin brightening: Niacinamide
Skin-identical ingredient: Sodium Hyaluronate
Soothing: Panthenol","Pyrus Malus (Apple) Fruit Water, Butylene Glycol, Glycolic Acid, Niacinamide, Sodium Hydroxide, 1,2-Hexanediol, Panthenol, Sodium Hyaluronate, Xanthan Gum, Ethyl Hexanediol",Bersihkan dan segarkan kulit Anda dengan COSRX AHA 7 Whitehead Power Liquid; perawatan pembaruan dan pelapisan ulang yang ditujukan untuk memperbaiki warna dan tekstur kulit.,NA26220100465,Ya,,b,a,"Membantu menguragi whitehead, menghilangkan sisa-sisa sel kulit mati, dan mencerahkan serta meratakan warna kulit, dan melembapkan kulit","b,d"
Cleanser,Scrub & Exfoliator,Kering,The Ordinary,Glycolic Acid 7% Toning Solution,https://image.femaledaily.com/dyn/210/images/prod-pics/product_1628569553_rdn_glycol_800x800.jpg,theordinary_glycolicacid7%toningsolution,"Antioxidant: Panax Ginseng Root Extract, Tasmannia Lanceolata Fruit/​Leaf Extract
Exfoliant: Glycolic Acid
Skin-identical ingredient: Glycerin, Aspartic Acid, Alanine, Glycine, Serine, Valine, Isoleucine, Proline, Threonine, Histidine, Phenylalanine, Arginine, Pca, Sodium Pca, Urea
Soothing: Centaurea Cyanus Flower Water, Tasmannia Lanceolata Fruit/​Leaf Extract, Sucrose","Aqua (Water), Glycolic Acid, Rosa Damascena Flower Water, Centaurea Cyanus Flower Water, Aloe Barbadensis Leaf Water, Propanediol, Glycerin, Triethanolamine, Aminomethyl Propanol, Panax Ginseng Root Extract, Tasmannia Lanceolata Fruit/​Leaf Extract, Aspartic Acid, Alanine, Glycine, Serine, Valine, Isoleucine, Proline, Threonine, Histidine, Phenylalanine, Glutamic Acid, Arginine, Pca, Sodium Pca, Sodium Lactate, Fructose, Glucose, Sucrose, Urea, Hexyl Nicotinate, Dextrin, Citric Acid, Polysorbate 20, Gellan Gum, Trisodium Ethylenediamine Disuccinate, Sodium Chloride, Hexylene Glycol, Potassium Sorbate, Sodium Benzoate, 1,2-Hexanediol, Caprylyl Glycol",Menawarkan pengelupasan ringan untuk meningkatkan kecerahan kulit dan kejernihan kulit. Formulanya juga memperbaiki tampilan tekstur kulit jika digunakan terus-menerus.,NA18231209227,Ya,,b,a,Menghilangkan sel-sel kulit mati untuk menjaga cahaya dan kejernihan kulit dan menjaga kulit tetap halus dengan penggunaan terus menerus,g
Cleanser,Scrub & Exfoliator,Kering,Avoskin,Miraculous Refining Serum,https://image.femaledaily.com/dyn/210/images/prod-pics/product_1679552814_PDP_TEMPLA_800x800.jpg,avoskin_miraculousrefiningserum,"Anti-acne: Niacinamide, Salicylic Acid
Antioxidant: Chamomilla Recutita (Matricaria) Flower Extract, Rubus Idaeus (Raspberry) Fruit Extract, Portulaca Oleracea Extract
Cell-communicating ingredient: Niacinamide
Exfoliant: Glycolic Acid, Salicylic Acid
Skin brightening: Niacinamide
Skin-identical ingredient: Squalane, Cholesterol
Soothing: Salicylic Acid, Chamomilla Recutita (Matricaria) Flower Extract, Aloe Barbadensis Leaf Juice, Fucus Vesiculosus Extract, Rubus Idaeus (Raspberry) Fruit Extract, Portulaca Oleracea Extract","Water, Propylene Glycol, Glycolic Acid, Niacinamide, Salicylic Acid, Butylene Glycol, Amylopectin, Xanthan Gum, Dextrin, Chamomilla Recutita (Matricaria) Flower Extract, Aloe Barbadensis Leaf Juice, Fucus Vesiculosus Extract, Rubus Idaeus (Raspberry) Fruit Extract, Acer Saccharum (Sugar Maple) Extract, Portulaca Oleracea Extract, Hydroxypropyl Bisstearamide Mea, Polyglutamic Acid, Tetrasodium EDTA, Sodium Hydroxymethylglycinate, Triethanolamine, Dipropylene Glycol, Behenyl Alcohol, Ceteareth-20, Cholesteryl Isostearate, Tricaprylin, Cetearyl Alcohol, Squalane, Cholesterol, Stearic Acid, Dimethicone, Phenoxyethanol",Kombinasi ekstrak alami AHA-BHA-NIACINAMIDE bekerja sebagai eksfoliator efektif untuk membuat kulit lebih bersih dan bercahaya.,"     
NA18240114046",Ya,,b,a,"Mengeksfoliasi kulit, mencerahkan dan meratakan warna kulit, memudarkan noda hitam di wajah, mengecilkan pori-pori, dan melembapkan dan memperbaiki tekstur kulit","b,d"
Treatment,Eye Treatment,Kering,Wardah,Renew You Anti Aging Eye Cream,https://image.femaledaily.com/dyn/210/images/prod-pics/product_1679476055_PDP_TEMPLA_800x800.jpg,wardah_renewyouantiagingeyecream,"Anti-acne: Niacinamide
Antioxidant: 3-0-Ethyl Ascorbic Acid, Tocopherol
Cell-communicating ingredient: Niacinamide, Adenosine, Palmitoyl Tripeptide-5, Acetyl Hexapeptide-8
Skin brightening: Niacinamide, 3-0-Ethyl Ascorbic Acid
Skin-identical ingredient: Glycerin
Soothing: Palmitoyl Tripeptide-8","Aqua, Glycerin, Isohexadecane, Dipropylene Glycol, Niacinamide, Dimethicone, Methyl Methacrylate Crosspolymer, Nylon-12, PEG-10 Dimethicone, 3-0-Ethyl Ascorbic Acid, Phenoxyethanol, Hydrogenated Castor Oil, Dimethicone/​PEG-10/​15 Crosspolymer, Butylene Glycol, Glycosaminoglycans, Dimethicone/​Polyglycerin-3 Crosspolymer, Coffea Arabica (Coffee) Seedcake Extract, Chlorphenesin, Malus Domestica Fruit Cell Culture Extract, Disodium EDTA, Lecithin, Xanthan Gum, Adenosine, Caprylyl Glycol, Palmitoyl Tripeptide-5, Benzyl Alcohol, Potassium Sorbate, Sodium Citrate, Trisodium EDTA, Acetyl Hexapeptide-8, Tocopherol, Dextran, Palmitoyl Tripeptide-8",Bekerja secara khusus dan inovatif membantu merawat area mata agar tampak lebih muda dan cerah.,NA18172000273,Ya,,b,b,Membantu kulit sekitar mata kini tampak lebih muda dan cerah,"a,d"
Treatment,Eye Treatment,Kering,Whitelab,Eye Cream,https://image.femaledaily.com/dyn/210/images/prod-pics/product_1617339087_WhatsApp_I_800x800.jpeg,whitelab_eyecream,"Antioxidant: Poria Cocos Extract, Tocopheryl Acetate, Copper Tripeptide-1, Ethyl Ascorbic Acid
Cell-communicating ingredient: Dipeptide-2, Acetyl Tetrapeptide-2, Copper Tripeptide-1
Skin brightening: Ethyl Ascorbic Acid
Skin-identical ingredient: Glycerin, Sodium Hyaluronate
Soothing: Beta-Glucan, Poria Cocos Extract, Allantoin, Copper Tripeptide-1","Aqua, Butylene Glycol, Cyclopentasiloxane, Glycerin, PEG/​PPG-20/​20 Phenylisopropyl Caprylyl Dimethicone, Beta-Glucan, Phenoxyethanol, Avena Sativa Kernel Oil, Sodium Polyacrylate, Poria Cocos Extract, Carbomer, Dicaprylyl Carbonate, Polyglyceryl-3 Caprate, Triethanolamine, Tocopheryl Acetate, Allantoin, Ethylhexylglycerin, Glycogen, Dipeptide-2, Acetyl Tetrapeptide-2, Sodium Hyaluronate, Copper Tripeptide-1, Parfum, Ethyl Ascorbic Acid, Chenopodium Quinoa Seed Extract","Dengan kandungan utama Copper Tripeptide + Beta Glucan. Ketika penuaan terjadi, area mata adalah yang pertama menunjukkan perubahannya. Kulit pada area mata yang tipis, akan lebih mudah mengendur dan garis halus serta kerutan akan lebih mudah terlihat.",NA18212000043,Ya,,b,b,"Meningkatkan kekencangan kulit, mengurangi garis halus, meningkatkan produksi kolagen, mengencangkan kantung mata,meningkatkan kelembaban kulit,meregenerasi sel-sel kulit, dan membantu mencerahkan area gelap di sekitar mata",d
Treatment,Skin Soothing Treatment,Kering,Innisfree,Aloe Revital Soothing Gel,https://image.femaledaily.com/dyn/210/images/prod-pics/product_1648712203_31642_13_r_800x800.png,innisfree_aloerevitalsoothinggel,"Antioxidant: Madecassoside
Soothing: Aloe Barbadensis Leaf Extract, Madecassoside","Water/​Aqua/​Eau, Butylene Glycol, Acrylates/​C10-30 Alkyl Acrylate Crosspolymer, Phenoxyethanol, Tromethamine, Aloe Barbadensis Leaf Extract, Sodium Polyacrylate, Ethylhexylglycerin, Disodium EDTA, Menthoxypropanediol, Madecassoside",Gel penenang serbaguna dengan kandungan aloe vera bebas bahan kimia dari Jeju yang mampu menyegarkan kulit lelah Anda secara instan dengan kelembapan.,"
NA26190105376",Ya,,b,b,"Menjaga kelembaban kulit, menutrisi kulit, dan mencegah kulit iritasi akibat sinar UV","b,c"
Treatment,Skin Soothing Treatment,Kering,Missha,Premium Cica Aloe Soothing Gel,https://image.femaledaily.com/dyn/210/images/prod-pics/42516ce1674939c1b4300fbd2d93b693.jpg,missha_premiumcicaaloesoothinggel,"Skin-identical ingredient: Glycerin, Sodium Hyaluronate
Soothing: Aloe Barbadensis Leaf Juice (95%), Aloe Barbadensis Leaf Extract, Allantoin, Beta-Glucan, Sucrose","Aloe Barbadensis Leaf Juice (95%), Ethanol, Glacier Water, Saussurea Involucrata Extract, Eggplant Extract, Menthyl Ethylamido Oxalate, Rhodiola Rosea Root Extract, Psidium Guajava Leaf Extract, Cinchona Succirubra Bark Extract, Aloe Barbadensis Leaf Extract, Abronia Villosa Leaf Extract, Polyglutamic Acid, Dioscorea Japonica Root Extract, Aloe Vera Leaf/​Sucrose Ferment Filtrate, Water, Dipropylene Glycol, Allantoin, Glycerin, Chondrus Crispus (Carrageenan) Extract, Sodium Hyaluronate, Cladosiphon Okamuranus Extract, Butylene Glycol, Disodium EDTA, Glyceryl Polyacrylate, C12-14 Hydroxyalkyl Maltitol Ether, Ethylhexylglycerin, Hydrolyzed Corn Starch, Triethanolamine, Carbomer, PEG-60 Hydrogenated Castor Oil, Beta-Glucan, 1,2-Hexanediol, Sucrose, Chlorphenesin, Phenoxyethanol, Fragrance","Dengan 95% sari Aloe Vera dari pulau Jeju yang masih asli, Missha Premium Aloe Soothing Gel berfokus untuk menenangkan kulit Anda sekaligus melembabkannya secara mendalam.",NA26190105671,Tidak,,b,b,Menenangkan kulit kering dan sensitif dengan kelembaban yang cukup,f
Treatment,Skin Soothing Treatment,Kering,EverShine,Moringa Soothing Gel,https://image.femaledaily.com/dyn/210/images/prod-pics/product_1610611001_1_Moringa__800x800.jpg,evershine_moringasoothinggel,"Antioxidant: Curcuma Longa (Turmeric) Root Extract
Skin brightening: Curcuma Longa (Turmeric) Root Extract
Skin-identical ingredient: Glycerin
Soothing: Aloe Vera Leaf Extract, Curcuma Longa (Turmeric) Root Extract","Aqua, Glycerin, Alcohol, Aloe Vera Leaf Extract, Butylene Glycol, Propylene Glycol, Acrylates Copolymer, Moringa Oleifera Leaf Extract, Triethanolamine, Carbomer, Phenoxyethanol, Curcuma Longa (Turmeric) Root Extract, Propanediol, Albatrellus Ovinus Extract, Citric Acid, Disodium EDTA","Evershine Moringa Soothing Gel tidak hanya berfungsi sebagai gel penenang biasa, tetapi juga memadukan empat bahan herbal kekayaan alam Indonesia dalam Moringa Soothing Gel.","
NA18230105984",Ya,,b,b,"Menjaga kelembaban kulit dan mencerahkan wajah, mengatasi kulit break out, kemerahan, terbakar matahari","b,d"
